radar_id,interval_start_time,altitude_band,number_of_measurements,avg_u_speed,avg_v_speed,avg_bird_density
KDIX,2010-09-08 07:00:00+00,2,14,0,0,0
KENX,2010-09-08 07:00:00+00,1,14,-4.06749,-3.51173,55.46574
KENX,2010-09-08 07:00:00+00,2,14,0,0,0
KGYX,2010-09-08 07:00:00+00,1,14,0,0,0
KGYX,2010-09-08 07:00:00+00,2,14,0,0,0
KOKX,2010-09-08 07:00:00+00,1,14,0,0,0
KOKX,2010-09-08 07:00:00+00,2,14,0,0,0
KBGM,2010-09-08 07:20:00+00,1,14,0,0,0
KBGM,2010-09-08 07:20:00+00,2,14,0,0,0
KBUF,2010-09-08 07:20:00+00,1,14,0,0,0
KBUF,2010-09-08 07:20:00+00,2,14,0,0,0
KCCX,2010-09-08 07:20:00+00,1,14,0,0,0
KCCX,2010-09-08 07:20:00+00,2,14,0,0,0
KDOX,2010-09-08 07:20:00+00,1,14,0,0,0
KDOX,2010-09-08 07:20:00+00,2,14,0,0,0
KLWX,2010-09-08 07:20:00+00,1,14,0,0,0
KLWX,2010-09-08 07:20:00+00,2,14,0,0,0
KTYX,2010-09-08 07:20:00+00,1,14,0,0,0
KTYX,2010-09-08 07:20:00+00,2,14,0,0,0
KCBW,2010-09-08 07:40:00+00,1,14,0,0,0
KCBW,2010-09-08 07:40:00+00,2,14,0,0,0
KBOX,2010-09-08 08:00:00+00,1,14,0,0,0
KBOX,2010-09-08 08:00:00+00,2,14,0,0,0
KCXX,2010-09-08 08:00:00+00,1,14,0,0,0
KCXX,2010-09-08 08:00:00+00,2,14,0,0,0
KENX,2010-09-08 08:00:00+00,1,14,0,0,0
KENX,2010-09-08 08:00:00+00,2,14,0,0,0
KGYX,2010-09-08 08:00:00+00,1,14,0,0,0
KGYX,2010-09-08 08:00:00+00,2,14,0,0,0
KOKX,2010-09-08 08:00:00+00,1,14,0,0,0
KOKX,2010-09-08 08:00:00+00,2,14,0,0,0
KBGM,2010-09-08 08:20:00+00,1,14,0,0,0
KBGM,2010-09-08 08:20:00+00,2,14,0,0,0
KBUF,2010-09-08 08:20:00+00,1,14,0,0,0
KBUF,2010-09-08 08:20:00+00,2,14,0,0,0
KCCX,2010-09-08 08:20:00+00,1,14,0,0,0
KCCX,2010-09-08 08:20:00+00,2,14,0,0,0
KDIX,2010-09-08 08:20:00+00,1,14,0,0,0
KDIX,2010-09-08 08:20:00+00,2,14,0,0,0
KDOX,2010-09-08 08:20:00+00,1,14,0,0,0
KDOX,2010-09-08 08:20:00+00,2,14,0,0,0
KLWX,2010-09-08 08:20:00+00,1,14,0,0,0
KLWX,2010-09-08 08:20:00+00,2,14,0,0,0
KTYX,2010-09-08 08:20:00+00,1,14,0,0,0
KTYX,2010-09-08 08:20:00+00,2,14,0,0,0
KCBW,2010-09-08 08:40:00+00,1,14,0,0,0
KCBW,2010-09-08 08:40:00+00,2,14,0,0,0
KBOX,2010-09-08 09:00:00+00,1,14,0,0,0
KBOX,2010-09-08 09:00:00+00,2,14,0,0,0
KCXX,2010-09-08 09:00:00+00,1,14,0,0,0
KCXX,2010-09-08 09:00:00+00,2,14,0,0,0
KDIX,2010-09-08 09:00:00+00,1,14,0,0,0
KDIX,2010-09-08 09:00:00+00,2,14,0,0,0
KENX,2010-09-08 09:00:00+00,1,14,0,0,0
KENX,2010-09-08 09:00:00+00,2,14,0,0,0
KGYX,2010-09-08 09:00:00+00,1,14,0,0,0
KGYX,2010-09-08 09:00:00+00,2,14,3.05593,-1.93596,2.83212
KOKX,2010-09-08 09:00:00+00,1,14,0,0,0
KOKX,2010-09-08 09:00:00+00,2,14,0,0,0
KBGM,2010-09-08 09:20:00+00,1,14,0,0,0
KBGM,2010-09-08 09:20:00+00,2,14,0,0,0
KCCX,2010-09-08 09:20:00+00,1,14,-4.70572,-0.87415,1.06612
KCCX,2010-09-08 09:20:00+00,2,14,0,0,0
KDOX,2010-09-08 09:20:00+00,1,14,0,0,0
KDOX,2010-09-08 09:20:00+00,2,14,0,0,0
KLWX,2010-09-08 09:20:00+00,1,14,0,0,0
KLWX,2010-09-08 09:20:00+00,2,14,0,0,0
KTYX,2010-09-08 09:20:00+00,1,14,0,0,0
KTYX,2010-09-08 09:20:00+00,2,14,0,0,0
KBUF,2010-09-08 09:40:00+00,1,14,0,0,0
KBUF,2010-09-08 09:40:00+00,2,14,0,0,0
KCBW,2010-09-08 09:40:00+00,1,14,0,0,0
KCBW,2010-09-08 09:40:00+00,2,14,0,0,0
KBOX,2010-09-08 10:00:00+00,1,14,0,0,0
KBOX,2010-09-08 10:00:00+00,2,14,0,0,0
KCXX,2010-09-08 10:00:00+00,1,14,0,0,0
KCXX,2010-09-08 10:00:00+00,2,14,0,0,0
KENX,2010-09-08 10:00:00+00,1,14,0,0,0
KENX,2010-09-08 10:00:00+00,2,14,0,0,0
KGYX,2010-09-08 10:00:00+00,1,14,0.56327,3.54265,404.51295
KGYX,2010-09-08 10:00:00+00,2,14,5.26981,2.80303,1628.13749
KOKX,2010-09-08 10:00:00+00,1,14,0,0,0
KOKX,2010-09-08 10:00:00+00,2,14,0,0,0
KBGM,2010-09-08 10:20:00+00,1,14,0,0,0
KBGM,2010-09-08 10:20:00+00,2,14,0,0,0
KCCX,2010-09-08 10:20:00+00,1,14,0,0,0
KCCX,2010-09-08 10:20:00+00,2,14,0,0,0
KDIX,2010-09-08 10:20:00+00,1,14,0,0,0
KDIX,2010-09-08 10:20:00+00,2,14,0,0,0
KDOX,2010-09-08 10:20:00+00,1,14,0,0,0
KDOX,2010-09-08 10:20:00+00,2,14,0,0,0
KLWX,2010-09-08 10:20:00+00,1,14,0,0,0
KLWX,2010-09-08 10:20:00+00,2,14,0,0,0
KTYX,2010-09-08 10:20:00+00,1,14,0,0,0
KTYX,2010-09-08 10:20:00+00,2,14,0,0,0
KBUF,2010-09-08 10:40:00+00,1,14,4.20446,-0.99111,1.46116
KBUF,2010-09-08 10:40:00+00,2,14,0,0,0
KCBW,2010-09-08 22:40:00+00,1,14,0,0,0
KCBW,2010-09-08 22:40:00+00,2,14,0,0,0
KBOX,2010-09-08 23:00:00+00,1,14,0,0,0
KBOX,2010-09-08 23:00:00+00,2,14,0,0,0
KCXX,2010-09-08 23:00:00+00,1,14,0,0,0
KCXX,2010-09-08 23:00:00+00,2,14,0,0,0
KDOX,2010-09-08 23:00:00+00,1,14,0,0,0
KDOX,2010-09-08 23:00:00+00,2,14,0,0,0
KENX,2010-09-08 23:00:00+00,1,14,0,0,0
KENX,2010-09-08 23:00:00+00,2,14,0,0,0
KGYX,2010-09-08 23:00:00+00,1,14,0,0,0
KGYX,2010-09-08 23:00:00+00,2,14,0,0,0
KOKX,2010-09-08 23:00:00+00,1,14,0,0,0
KOKX,2010-09-08 23:00:00+00,2,14,0,0,0
KBGM,2010-09-08 23:20:00+00,1,14,0,0,0
KBGM,2010-09-08 23:20:00+00,2,14,0,0,0
KCCX,2010-09-08 23:20:00+00,1,14,0,0,0
KCCX,2010-09-08 23:20:00+00,2,14,0,0,0
KDIX,2010-09-08 23:20:00+00,1,14,0,0,0
KDIX,2010-09-08 23:20:00+00,2,14,0,0,0
KLWX,2010-09-08 23:20:00+00,1,14,0,0,0
KLWX,2010-09-08 23:20:00+00,2,14,0,0,0
KTYX,2010-09-08 23:20:00+00,1,14,0,0,0
KTYX,2010-09-08 23:20:00+00,2,14,0,0,0
KBUF,2010-09-08 23:40:00+00,1,14,0,0,0
KBUF,2010-09-08 23:40:00+00,2,14,0,0,0
KCBW,2010-09-08 23:40:00+00,1,14,-5.18475,-7.14439,1.10593
KCBW,2010-09-08 23:40:00+00,2,14,0,0,0
KBOX,2010-09-09 00:00:00+00,1,14,1.28589,-6.73861,3.54240
KBOX,2010-09-09 00:00:00+00,2,14,0,0,0
KCXX,2010-09-09 00:00:00+00,1,14,2.71122,-7.98293,10.17171
KCXX,2010-09-09 00:00:00+00,2,14,0,0,0
KDIX,2010-09-09 00:00:00+00,1,14,-3.86226,-6.22445,4.41567
KDIX,2010-09-09 00:00:00+00,2,14,0,0,0
KENX,2010-09-09 00:00:00+00,1,14,0,0,0
KENX,2010-09-09 00:00:00+00,2,14,0,0,0
KGYX,2010-09-09 00:00:00+00,1,14,-5.67989,-5.62289,5.50498
KGYX,2010-09-09 00:00:00+00,2,14,0,0,0
KOKX,2010-09-09 00:00:00+00,1,14,0,0,0
KOKX,2010-09-09 00:00:00+00,2,14,0,0,0
KBGM,2010-09-09 00:20:00+00,1,14,0,0,0
KBGM,2010-09-09 00:20:00+00,2,14,0,0,0
KBUF,2010-09-09 00:20:00+00,1,14,0,0,0
KBUF,2010-09-09 00:20:00+00,2,14,0,0,0
KCCX,2010-09-09 00:20:00+00,1,14,-2.37825,-6.50674,14.61875
KCCX,2010-09-09 00:20:00+00,2,14,0,0,0
KDOX,2010-09-09 00:20:00+00,1,14,0.01777,-6.92813,8.70311
KDOX,2010-09-09 00:20:00+00,2,14,0,0,0
KLWX,2010-09-09 00:20:00+00,1,14,0.00599,-6.92030,19.79529
KLWX,2010-09-09 00:20:00+00,2,14,0,0,0
KTYX,2010-09-09 00:20:00+00,1,14,0,0,0
KTYX,2010-09-09 00:20:00+00,2,14,0,0,0
KCBW,2010-09-09 00:40:00+00,1,14,-4.68780,-7.72864,2.08286
KCBW,2010-09-09 00:40:00+00,2,14,0,0,0
KBOX,2010-09-09 01:00:00+00,1,14,-0.26371,-6.80052,1.74987
KBOX,2010-09-09 01:00:00+00,2,14,0,0,0
KCXX,2010-09-09 01:00:00+00,1,14,1.91813,-6.74554,3.56920
KCXX,2010-09-09 01:00:00+00,2,14,0,0,0
KDIX,2010-09-09 01:00:00+00,1,14,-3.31439,-6.79416,12.30922
KDIX,2010-09-09 01:00:00+00,2,14,0,0,0
KENX,2010-09-09 01:00:00+00,1,14,0,0,0
KENX,2010-09-09 01:00:00+00,2,14,0,0,0
KGYX,2010-09-09 01:00:00+00,1,14,-5.96344,-6.07739,17.98051
KGYX,2010-09-09 01:00:00+00,2,14,0,0,0
KOKX,2010-09-09 01:00:00+00,1,14,-0.18434,-5.59729,7.61296
KOKX,2010-09-09 01:00:00+00,2,14,4.70755,1.00153,1.29022
KBGM,2010-09-09 01:20:00+00,1,14,0,0,0
KBGM,2010-09-09 01:20:00+00,2,14,0,0,0
KBUF,2010-09-09 01:20:00+00,1,14,0,0,0
KBUF,2010-09-09 01:20:00+00,2,14,0,0,0
KCCX,2010-09-09 01:20:00+00,1,14,0.72265,-4.25549,2.48482
KCCX,2010-09-09 01:20:00+00,2,14,0,0,0
KDOX,2010-09-09 01:20:00+00,1,14,-4.64969,-9.50186,42.95771
KDOX,2010-09-09 01:20:00+00,2,14,0,0,0
KLWX,2010-09-09 01:20:00+00,1,14,-1.69074,-8.12896,45.93920
KLWX,2010-09-09 01:20:00+00,2,14,0,0,0
KTYX,2010-09-09 01:20:00+00,1,14,0,0,0
KTYX,2010-09-09 01:20:00+00,2,14,0,0,0
KCBW,2010-09-09 01:40:00+00,1,14,-3.79225,-6.55864,1.85611
KCBW,2010-09-09 01:40:00+00,2,14,0,0,0
KBOX,2010-09-09 02:00:00+00,1,14,0,0,0
KBOX,2010-09-09 02:00:00+00,2,14,0,0,0
KCXX,2010-09-09 02:00:00+00,1,14,0.99190,-6.18446,4.27690
KCXX,2010-09-09 02:00:00+00,2,14,0,0,0
KENX,2010-09-09 02:00:00+00,1,14,0,0,0
KENX,2010-09-09 02:00:00+00,2,14,0,0,0
KGYX,2010-09-09 02:00:00+00,1,14,-3.61759,-4.61454,16.17684
KGYX,2010-09-09 02:00:00+00,2,14,0,0,0
KOKX,2010-09-09 02:00:00+00,1,14,-1.03323,-5.25862,5.79842
KOKX,2010-09-09 02:00:00+00,2,14,6.67028,3.68080,1.20542
KBGM,2010-09-09 02:20:00+00,1,14,0,0,0
KBGM,2010-09-09 02:20:00+00,2,14,0,0,0
KBUF,2010-09-09 02:20:00+00,1,14,-1.97446,-7.19627,7.15180
KBUF,2010-09-09 02:20:00+00,2,14,0,0,0
KCCX,2010-09-09 02:20:00+00,1,14,2.97155,-3.54340,3.42518
KCCX,2010-09-09 02:20:00+00,2,14,0,0,0
KDIX,2010-09-09 02:20:00+00,1,14,-0.23311,-4.21684,13.47199
KDIX,2010-09-09 02:20:00+00,2,14,0,0,0
KDOX,2010-09-09 02:20:00+00,1,14,-1.96517,-5.14501,16.91233
KDOX,2010-09-09 02:20:00+00,2,14,0,0,0
KLWX,2010-09-09 02:20:00+00,1,14,-1.43541,-5.85640,38.23520
KLWX,2010-09-09 02:20:00+00,2,14,0,0,0
KTYX,2010-09-09 02:20:00+00,1,14,-0.67402,-0.66512,4.54004
KTYX,2010-09-09 02:20:00+00,2,14,0,0,0
KCBW,2010-09-09 02:40:00+00,1,14,-4.91134,-7.20553,8.59691
KCBW,2010-09-09 02:40:00+00,2,14,0,0,0
KBOX,2010-09-09 03:00:00+00,1,14,0,0,0
KBOX,2010-09-09 03:00:00+00,2,14,0,0,0
KCXX,2010-09-09 03:00:00+00,1,14,1.13347,-5.13056,5.20979
KCXX,2010-09-09 03:00:00+00,2,14,0,0,0
KDIX,2010-09-09 03:00:00+00,1,14,2.63436,-3.39751,2.81789
KDIX,2010-09-09 03:00:00+00,2,14,0,0,0
KDOX,2010-09-09 03:00:00+00,1,14,-1.79779,-5.99891,20.28132
KDOX,2010-09-09 03:00:00+00,2,14,0,0,0
KENX,2010-09-09 03:00:00+00,1,14,0,0,0
KENX,2010-09-09 03:00:00+00,2,14,0,0,0
KGYX,2010-09-09 03:00:00+00,1,14,-4.06031,-5.00398,8.52238
KGYX,2010-09-09 03:00:00+00,2,14,0,0,0
KOKX,2010-09-09 03:00:00+00,1,14,0,0,0
KOKX,2010-09-09 03:00:00+00,2,14,0,0,0
KBGM,2010-09-09 03:20:00+00,1,14,0,0,0
KBGM,2010-09-09 03:20:00+00,2,14,0,0,0
KCCX,2010-09-09 03:20:00+00,1,14,2.23587,-4.46850,6.61832
KCCX,2010-09-09 03:20:00+00,2,14,0,0,0
KLWX,2010-09-09 03:20:00+00,1,14,-2.28482,-5.31131,34.04613
KLWX,2010-09-09 03:20:00+00,2,14,0,0,0
KTYX,2010-09-09 03:20:00+00,1,14,-2.23676,-2.05416,1.89566
KTYX,2010-09-09 03:20:00+00,2,14,0,0,0
KBUF,2010-09-09 03:40:00+00,1,14,-3.39322,-9.69093,13.47301
KBUF,2010-09-09 03:40:00+00,2,14,0,0,0
KCBW,2010-09-09 03:40:00+00,1,14,-4.07048,-6.63846,4.06562
KCBW,2010-09-09 03:40:00+00,2,14,0,0,0
KBOX,2010-09-09 04:00:00+00,1,14,-3.68302,-7.05197,1.08132
KBOX,2010-09-09 04:00:00+00,2,14,0,0,0
KCXX,2010-09-09 04:00:00+00,1,14,-0.41119,-7.09280,28.74971
KCXX,2010-09-09 04:00:00+00,2,14,1.05998,-5.12497,11.85843
KENX,2010-09-09 04:00:00+00,1,14,0,0,0
KENX,2010-09-09 04:00:00+00,2,14,0,0,0
KGYX,2010-09-09 04:00:00+00,1,14,-4.28456,-4.45214,11.53800
KGYX,2010-09-09 04:00:00+00,2,14,0,0,0
KOKX,2010-09-09 04:00:00+00,1,14,0,0,0
KOKX,2010-09-09 04:00:00+00,2,14,0,0,0
KBGM,2010-09-09 04:20:00+00,1,14,3.28840,-2.29649,1.04568
KBGM,2010-09-09 04:20:00+00,2,14,0,0,0
KCCX,2010-09-09 04:20:00+00,1,14,-0.02527,-4.48302,4.85558
KCCX,2010-09-09 04:20:00+00,2,14,0,0,0
KDIX,2010-09-09 04:20:00+00,1,14,1.20172,-4.41706,1.91927
KDIX,2010-09-09 04:20:00+00,2,14,0,0,0
KDOX,2010-09-09 04:20:00+00,1,14,-2.47589,-6.84277,27.70886
KDOX,2010-09-09 04:20:00+00,2,14,0,0,0
KLWX,2010-09-09 04:20:00+00,1,14,-1.17030,-2.32382,13.51417
KLWX,2010-09-09 04:20:00+00,2,14,0,0,0
KTYX,2010-09-09 04:20:00+00,1,14,0,0,0
KTYX,2010-09-09 04:20:00+00,2,14,0,0,0
KBUF,2010-09-09 04:40:00+00,1,14,-0.82084,-8.47914,8.48734
